Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
overweight,pescetarian,male,moderate,twice a day,wood,hybrid,diesel,small,frequently,10,5,567,8.42,2941,1.51
average,pescetarian,male,high,twice a day,wood,walk,diesel,small,frequently,2,4,114,10.26,910,9.71
average,vegetarian,female,low,daily,electricity,private,diesel,small,rarely,18,2,553,8.25,3217,8.65
average,omnivore,male,moderate,daily,wood,walk,petrol,medium,rarely,12,6,442,8.06,4328,8.65
athletic,vegetarian,male,moderate,twice a day,electricity,hybrid,hybrid,extra large,never,3,6,499,6.95,1589,7.11
average,vegan,female,low,rarely,electricity,walk,electric,large,rarely,12,4,385,0.01,4163,2.74
athletic,pescetarian,male,moderate,twice a day,electricity,hybrid,diesel,small,rarely,14,2,292,10.85,1954,2.92
overweight,vegan,other,low,daily,wood,walk,hybrid,extra large,never,5,7,311,10,1852,1.79
athletic,vegetarian,male,high,daily,gas,bike,hybrid,large,frequently,17,2,458,2.33,409,8.03
overweight,vegetarian,male,low,daily,gas,walk,petrol,small,rarely,7,5,496,2.16,2703,9.07
average,omnivore,male,low,rarely,wood,walk,petrol,medium,frequently,8,3,236,0.44,4960,6.54
average,omnivore,other,moderate,daily,electricity,bike,electric,medium,never,19,6,295,4.55,4107,8.65
overweight,omnivore,other,low,frequently,wood,private,hybrid,medium,rarely,1,5,391,11.82,1456,9.15
underweight,vegan,other,low,frequently,solar,hybrid,diesel,large,never,9,1,91,1.17,4519,2.32
overweight,omnivore,other,moderate,rarely,gas,public,petrol,medium,frequently,1,7,432,6.78,1277,4.48
underweight,vegetarian,female,low,daily,electricity,private,hybrid,extra large,never,8,7,72,3.18,4068,2.25
athletic,omnivore,other,moderate,daily,wood,hybrid,petrol,large,rarely,8,7,467,10.34,1433,4.57
athletic,pescetarian,other,high,frequently,electricity,walk,hybrid,medium,rarely,12,4,410,6.09,3552,5.22
athletic,omnivore,other,low,frequently,solar,private,petrol,extra large,frequently,9,4,266,10.24,1413,7.39
average,vegan,other,high,twice a day,electricity,walk,diesel,extra large,frequently,6,3,136,11.16,2498,7.03
athletic,pescetarian,female,low,rarely,solar,private,electric,small,frequently,12,2,339,7.6,2765,9.9
underweight,pescetarian,male,low,twice a day,gas,private,diesel,small,frequently,4,4,506,3.39,1460,3.04
athletic,pescetarian,male,high,rarely,electricity,public,petrol,extra large,rarely,11,7,406,5.38,3659,2.39
overweight,vegan,other,high,daily,wood,bike,petrol,small,rarely,8,3,495,7.58,4473,7.55
overweight,vegetarian,other,moderate,daily,electricity,private,petrol,small,rarely,8,1,317,7.81,4535,7.33
average,omnivore,other,moderate,rarely,electricity,walk,diesel,large,never,17,4,177,0.8,3729,2.22
overweight,pescetarian,male,high,twice a day,solar,public,petrol,medium,never,7,7,129,4.21,1297,8.36
underweight,pescetarian,male,low,frequently,solar,private,diesel,large,frequently,17,1,133,6.39,2535,4.09
athletic,pescetarian,other,moderate,rarely,wood,bike,petrol,large,frequently,9,6,589,4.04,1181,5.24
average,vegetarian,male,low,rarely,gas,walk,electric,small,frequently,0,5,463,6.94,4490,7.18
athletic,vegetarian,female,moderate,rarely,gas,public,electric,medium,rarely,9,4,508,2.11,3971,6.47
athletic,vegan,other,moderate,daily,solar,hybrid,petrol,large,never,4,4,450,0.42,4439,7.01
underweight,vegetarian,other,moderate,rarely,wood,bike,hybrid,large,frequently,17,2,552,4.1,1332,2.03
overweight,omnivore,female,high,daily,electricity,hybrid,diesel,large,frequently,18,1,400,6.82,862,3.59
overweight,vegan,female,low,frequently,wood,hybrid,petrol,large,rarely,12,5,572,0.13,1937,8.31
athletic,vegan,male,high,frequently,wood,public,diesel,medium,never,5,3,80,7.34,2617,9.37
average,omnivore,female,moderate,twice a day,wood,public,hybrid,small,frequently,16,5,406,4.25,1227,4.72
overweight,omnivore,other,high,daily,gas,public,electric,extra large,frequently,13,4,210,11.92,3746,9.66
average,omnivore,male,high,frequently,electricity,hybrid,diesel,small,frequently,5,6,546,9.39,1740,9.38
overweight,vegan,female,high,frequently,wood,walk,diesel,extra large,frequently,15,1,318,3.49,1073,8.66
average,vegan,male,low,twice a day,gas,public,diesel,large,never,8,4,293,11.66,3162,7.75
underweight,vegan,male,high,twice a day,gas,bike,diesel,extra large,never,3,3,461,3.34,1680,5.78
average,omnivore,male,high,twice a day,solar,public,diesel,medium,frequently,17,3,238,1.3,1033,2.91
underweight,omnivore,male,high,daily,electricity,public,electric,medium,rarely,4,4,59,0.32,650,3.29
underweight,pescetarian,female,high,rarely,wood,public,diesel,large,frequently,0,6,214,9.4,1449,2.45
average,vegetarian,other,high,daily,electricity,hybrid,diesel,medium,rarely,14,7,576,3.83,2076,8.64
underweight,pescetarian,other,high,twice a day,solar,walk,electric,large,frequently,11,4,411,11.81,376,1.06
athletic,omnivore,female,high,rarely,solar,public,petrol,extra large,frequently,13,4,242,7.42,1960,3.4
underweight,vegan,other,moderate,frequently,wood,hybrid,petrol,small,rarely,11,1,446,1.97,302,6.45
overweight,omnivore,male,high,daily,gas,bike,diesel,small,frequently,12,2,105,4.03,4477,9.87
average,vegetarian,male,high,twice a day,solar,walk,electric,extra large,never,2,3,537,6.15,4170,3.68
athletic,pescetarian,male,low,twice a day,gas,hybrid,diesel,small,rarely,13,1,335,8.66,4570,2.9
average,pescetarian,female,moderate,rarely,solar,private,petrol,large,never,6,3,293,7.1,3472,1.68
overweight,vegan,male,high,daily,electricity,bike,electric,extra large,rarely,2,4,113,3.12,1363,3.56
overweight,pescetarian,male,low,frequently,wood,bike,hybrid,large,never,8,3,325,5.71,114,8.44
overweight,pescetarian,female,high,frequently,solar,private,electric,small,frequently,3,6,295,2.6,1739,2.18
underweight,omnivore,male,high,rarely,electricity,hybrid,petrol,large,frequently,1,6,148,4.2,4519,2.34
underweight,pescetarian,male,high,rarely,solar,hybrid,electric,medium,rarely,2,6,559,3.43,1168,2.29
average,pescetarian,other,high,frequently,wood,bike,hybrid,small,never,0,5,332,10.78,3580,2.05
average,pescetarian,female,high,rarely,electricity,hybrid,electric,medium,frequently,4,3,189,9.46,818,5.08
athletic,vegan,male,low,rarely,gas,private,diesel,medium,never,8,6,158,6.38,1718,8.45
athletic,vegan,male,high,daily,solar,hybrid,diesel,extra large,never,17,5,292,2.09,1434,5.14
average,omnivore,male,low,rarely,solar,bike,petrol,extra large,rarely,12,1,90,7.12,3232,5.9
underweight,pescetarian,male,high,twice a day,electricity,hybrid,electric,large,frequently,18,1,273,4.25,1384,6.15
overweight,vegan,other,low,twice a day,wood,walk,petrol,large,rarely,18,7,100,0.45,3382,4.47
average,vegan,other,moderate,twice a day,solar,private,electric,small,rarely,6,6,402,8.27,683,4.05
athletic,omnivore,other,high,rarely,electricity,private,petrol,large,frequently,6,7,129,3.07,3371,6.69
underweight,vegetarian,other,moderate,frequently,wood,public,electric,large,never,14,5,590,2.81,2983,4.15
average,pescetarian,female,moderate,twice a day,solar,hybrid,diesel,extra large,rarely,16,3,396,7.97,503,2.05
average,vegan,male,moderate,daily,electricity,private,petrol,extra large,frequently,2,6,100,10.46,600,8.76
underweight,omnivore,other,high,rarely,wood,hybrid,petrol,medium,never,16,1,364,3.38,4449,6.28
average,omnivore,male,moderate,frequently,solar,walk,hybrid,large,never,13,3,208,9.33,4891,8.46
underweight,omnivore,female,low,frequently,solar,bike,electric,extra large,never,4,2,158,10.63,2970,5.3
overweight,vegan,male,high,rarely,wood,bike,diesel,small,rarely,6,6,503,2.53,4768,6.79
underweight,pescetarian,male,moderate,rarely,wood,public,diesel,large,rarely,18,2,335,11.01,1768,9.28
underweight,vegetarian,other,high,daily,electricity,public,diesel,small,frequently,18,6,139,3.4,2304,7.74
underweight,pescetarian,other,moderate,rarely,solar,private,petrol,medium,never,0,5,345,2.61,1191,4.16
average,omnivore,female,low,rarely,solar,private,diesel,medium,never,18,5,568,4.33,4157,3.96
average,omnivore,male,high,frequently,electricity,private,petrol,extra large,frequently,16,3,505,2.74,3869,3.45
underweight,vegetarian,other,high,twice a day,solar,walk,hybrid,extra large,never,14,2,188,6.87,721,5.28
average,pescetarian,other,moderate,twice a day,solar,public,diesel,medium,never,7,2,564,5.67,1303,9.28
athletic,omnivore,other,low,frequently,solar,public,hybrid,small,frequently,7,5,274,8.04,1270,1.16
athletic,omnivore,female,high,rarely,gas,bike,electric,medium,frequently,0,4,69,8.69,1141,7.85
average,pescetarian,male,moderate,daily,wood,public,electric,medium,rarely,19,3,446,0.98,2653,4.17
average,omnivore,other,low,twice a day,gas,public,hybrid,extra large,rarely,8,3,494,1.84,4177,8.29
underweight,pescetarian,male,low,rarely,gas,walk,electric,large,rarely,1,1,482,9.48,1124,4.9
overweight,omnivore,female,low,twice a day,wood,private,diesel,extra large,frequently,0,5,94,0.79,105,7.5
average,pescetarian,male,low,frequently,gas,walk,diesel,extra large,rarely,15,1,329,7.91,1160,8.54
athletic,vegetarian,other,high,twice a day,electricity,hybrid,petrol,small,never,12,4,271,7.96,1381,5.23
underweight,omnivore,male,high,frequently,gas,bike,hybrid,medium,rarely,10,1,240,8.85,4253,7.59
average,vegetarian,male,low,frequently,electricity,bike,hybrid,large,rarely,0,4,570,2.62,1358,1.62
athletic,omnivore,female,moderate,frequently,wood,bike,petrol,large,rarely,5,1,361,1.81,3080,3.68
athletic,omnivore,female,moderate,daily,solar,private,diesel,extra large,frequently,0,5,382,5.4,2447,3.9
overweight,vegan,male,low,rarely,wood,private,hybrid,extra large,never,5,4,382,0.51,4478,5.28
underweight,pescetarian,male,low,frequently,wood,private,petrol,medium,frequently,8,3,248,10.1,2622,6.82
underweight,vegetarian,male,moderate,frequently,gas,bike,hybrid,small,never,12,5,433,8.96,1982,5.23
overweight,vegetarian,female,low,twice a day,wood,bike,hybrid,medium,rarely,15,5,560,10.62,3803,8.59
overweight,vegetarian,female,low,rarely,wood,bike,petrol,large,rarely,19,7,177,0.84,4802,3.32
underweight,pescetarian,male,high,daily,electricity,hybrid,hybrid,small,never,3,7,162,11.05,1483,2.21
underweight,vegan,female,high,daily,solar,hybrid,electric,extra large,frequently,19,6,91,9.08,1091,4.34
average,vegetarian,other,low,twice a day,gas,bike,petrol,extra large,frequently,10,2,562,1.35,3314,3.18
average,pescetarian,female,low,daily,solar,private,petrol,large,rarely,12,3,113,1.26,1915,6.34
overweight,omnivore,female,high,twice a day,solar,private,electric,medium,never,0,1,269,10.8,1134,6.13
average,vegetarian,female,low,rarely,solar,hybrid,hybrid,small,never,2,7,576,5.59,3534,7.63
athletic,vegetarian,other,high,twice a day,gas,hybrid,electric,medium,never,10,5,455,11.99,3145,8.07
average,vegan,other,high,twice a day,wood,bike,hybrid,medium,never,19,1,453,7.62,1665,2.28
average,vegetarian,other,moderate,frequently,solar,bike,diesel,medium,rarely,7,5,555,8.25,722,4.1
athletic,vegetarian,male,high,daily,gas,private,electric,extra large,frequently,0,3,138,5.61,2820,1.71
overweight,omnivore,male,moderate,rarely,wood,public,electric,large,rarely,18,5,217,5.24,973,7.12
athletic,pescetarian,other,moderate,rarely,solar,private,electric,small,never,13,7,479,9.62,1766,8.21
average,pescetarian,male,high,frequently,electricity,private,diesel,small,frequently,17,1,265,5.38,3493,9.65
overweight,vegan,male,low,twice a day,gas,bike,hybrid,large,rarely,5,1,360,5.98,1499,9.61
average,omnivore,male,high,rarely,solar,public,diesel,small,never,8,3,438,4.69,1976,6.69
athletic,pescetarian,other,moderate,rarely,gas,public,electric,small,rarely,8,7,539,2.36,2938,7.65
athletic,omnivore,female,high,twice a day,electricity,bike,diesel,medium,never,14,1,215,10.19,1109,2.88
average,pescetarian,other,high,twice a day,gas,walk,electric,medium,rarely,4,4,185,2.65,663,6.25
underweight,omnivore,other,moderate,rarely,wood,bike,petrol,large,rarely,18,5,190,3.62,4532,3.98
underweight,vegan,male,high,twice a day,solar,hybrid,hybrid,small,rarely,8,4,145,7.11,2035,1.98
athletic,vegetarian,male,high,daily,gas,public,electric,large,never,8,2,212,3.91,4502,5.41
athletic,vegan,female,moderate,rarely,gas,bike,diesel,large,frequently,16,7,74,4.24,2479,4.79
underweight,pescetarian,female,low,twice a day,solar,private,diesel,large,frequently,14,2,494,0.05,1977,1.62
underweight,vegan,female,moderate,rarely,electricity,private,diesel,large,never,9,6,80,9.61,3383,9.59
average,vegetarian,female,moderate,rarely,electricity,private,hybrid,medium,frequently,8,6,350,5.93,4394,9.61
average,vegan,other,high,frequently,solar,bike,petrol,extra large,frequently,18,7,261,2.35,3163,6.03
underweight,pescetarian,female,moderate,daily,solar,walk,hybrid,large,rarely,6,5,539,8.55,1818,9.5
average,pescetarian,other,high,daily,wood,hybrid,petrol,small,rarely,12,1,406,7.87,520,3.32
average,vegan,male,high,frequently,gas,private,diesel,extra large,never,1,3,56,4.52,1898,8.12
overweight,vegetarian,female,high,frequently,gas,bike,hybrid,medium,never,17,2,550,6.94,1764,9.54
average,vegan,male,moderate,rarely,electricity,walk,petrol,extra large,rarely,7,7,251,8,2907,4.56
athletic,vegetarian,male,moderate,daily,wood,public,diesel,extra large,never,7,1,266,0.74,4428,3.72
average,omnivore,other,high,frequently,gas,public,diesel,medium,never,19,7,503,5.01,2415,7.25
average,vegetarian,female,low,twice a day,wood,hybrid,hybrid,large,frequently,8,6,350,6.3,4292,5.26
underweight,omnivore,other,low,rarely,solar,bike,petrol,extra large,never,12,3,194,8.68,2910,4.41
athletic,vegan,male,moderate,daily,gas,bike,diesel,medium,never,19,5,392,4.58,1075,8
average,vegetarian,female,high,rarely,solar,private,diesel,medium,rarely,11,1,462,2.05,251,3.15
average,omnivore,male,high,rarely,electricity,walk,diesel,extra large,never,6,4,504,1.08,4508,7.19
overweight,omnivore,male,moderate,twice a day,electricity,hybrid,electric,medium,rarely,12,5,165,9.71,4624,4.49
average,omnivore,female,low,twice a day,solar,walk,petrol,extra large,never,12,2,453,5.75,4047,3.35
average,pescetarian,female,moderate,frequently,electricity,hybrid,petrol,extra large,frequently,3,5,526,2.75,305,9.38
overweight,vegan,female,moderate,twice a day,solar,bike,electric,medium,rarely,1,5,312,9.66,686,3.23
underweight,omnivore,other,high,daily,solar,bike,diesel,medium,never,1,3,432,9.74,637,4.48
average,vegetarian,other,moderate,frequently,solar,hybrid,electric,medium,never,4,7,211,7.82,559,6.59
overweight,omnivore,male,low,daily,electricity,walk,electric,extra large,frequently,1,2,566,1.44,4828,1.55
athletic,pescetarian,female,moderate,daily,electricity,public,electric,small,never,14,6,254,3.64,2524,1.92
underweight,vegan,male,high,frequently,electricity,public,petrol,medium,frequently,1,3,439,10.59,4296,6.66
athletic,pescetarian,male,low,twice a day,solar,private,diesel,medium,rarely,1,5,529,1.46,1868,6.32
athletic,pescetarian,male,high,rarely,wood,private,diesel,large,rarely,19,7,338,8.41,1086,6.42
overweight,pescetarian,male,moderate,twice a day,electricity,walk,petrol,medium,never,7,7,260,3.07,179,6.34
average,vegetarian,male,moderate,daily,wood,bike,petrol,extra large,rarely,4,1,238,0.41,3218,8.51
overweight,vegan,female,moderate,daily,electricity,walk,electric,medium,frequently,15,4,195,8.27,3945,3.97
overweight,vegan,other,high,frequently,gas,hybrid,electric,large,frequently,13,4,191,3.18,4057,2.58
overweight,vegetarian,female,moderate,daily,gas,public,hybrid,small,never,7,3,208,8.92,4973,9.08
overweight,vegan,female,low,frequently,gas,private,hybrid,small,frequently,10,7,130,4.4,3140,6.04
underweight,pescetarian,female,low,frequently,wood,walk,petrol,medium,frequently,10,1,184,2.63,4325,8.1
average,vegan,other,high,twice a day,electricity,walk,electric,small,frequently,7,4,390,10.92,4500,2.73
athletic,vegetarian,other,high,daily,solar,hybrid,petrol,extra large,never,15,1,120,4.26,2033,5.17
athletic,pescetarian,other,high,twice a day,wood,bike,electric,small,rarely,7,6,391,10.97,1036,2.06
average,vegetarian,female,moderate,rarely,electricity,bike,electric,extra large,frequently,19,6,327,11.54,3691,1.89
athletic,omnivore,other,low,twice a day,gas,public,petrol,small,rarely,19,3,136,4.88,607,5.09
average,pescetarian,male,low,daily,wood,private,petrol,small,rarely,11,2,141,8.62,3766,6.36
athletic,pescetarian,other,low,rarely,electricity,bike,diesel,extra large,never,4,1,240,4.76,4616,9.35
overweight,vegan,female,high,daily,solar,bike,diesel,extra large,never,2,1,281,7.88,870,1.44
athletic,pescetarian,female,high,rarely,wood,bike,hybrid,medium,rarely,17,2,495,9.26,543,4.35
average,vegetarian,male,moderate,daily,solar,walk,petrol,extra large,never,0,5,305,7.66,2530,7.66
average,vegan,other,high,twice a day,wood,bike,hybrid,medium,rarely,18,5,222,3.47,1231,3.74
average,omnivore,other,low,daily,gas,hybrid,petrol,large,frequently,12,7,513,3.7,2515,7.78
average,vegetarian,male,moderate,frequently,gas,public,petrol,extra large,rarely,10,5,518,10.34,3919,9.55
average,omnivore,female,high,frequently,gas,bike,petrol,medium,rarely,0,3,574,6.77,1758,6.3
underweight,omnivore,female,high,twice a day,solar,private,diesel,medium,frequently,17,5,544,10.82,1849,3.26
underweight,omnivore,other,low,twice a day,gas,walk,hybrid,small,never,18,3,191,5.03,850,6.36
athletic,pescetarian,other,moderate,rarely,solar,hybrid,petrol,extra large,rarely,12,2,342,3.16,3984,3.73
average,vegetarian,other,high,twice a day,solar,public,hybrid,small,never,7,7,522,7.3,531,2.52
athletic,vegetarian,other,high,frequently,solar,walk,hybrid,medium,frequently,17,1,396,10.68,1699,8.13
